fw	class	nMethods	nPorted
Flexo	FFAnchoredTimelineModule	1471	0
Helium	(free)	1458	0
Flexo	FFAnchoredSequence	1170	0
Flexo	FFAnchoredObject	924	0
Flexo	(free)	821	0
Flexo	FFOrganizerFilmstripModule	638	0
Ozone	(free)	627	0
Flexo	FFEffect	554	0
ProCore	(free)	537	0
Flexo	FFEffectStack	502	1
Flexo	FFProOSC	405	0
Flexo	FFAsset	386	0
Flexo	FFPlayerVideoModule	382	0
Flexo	FFOrganizerFilmstripView	380	0
Flexo	FFOrganizerFilmListViewController	374	0
Ozone	OZScene	365	0
Ozone	OZPreferenceManager	365	0
Ozone	LKColor	318	0
Flexo	FFXMLImporter	306	0
Flexo	FFAnchoredCollection	300	0
Ozone	OZViewer	277	0
Flexo	FFLibraryDocument	277	0
Ozone	OZDocumentKeyResponder	265	0
Flexo	FFMediaEventProject	264	0
Ozone	OZFxPlugParameterHandler	261	0
Flexo	FFPlayer	254	0
ProChannel	OZChannel	241	0
Flexo	FFLibrary	240	0
Ozone	OZCanvasModule	232	0
Flexo	FFAnchoredStack	227	0
Flexo	FFVideoProps	216	0
Flexo	FFCurveEditorLayer	216	0
Flexo	FFOutlineView	214	0
Ozone	OZImageElement	212	0
Ozone	OZElement	205	0
Flexo	FFCurveEditorDataSource	201	0
Flexo	FFPlayerModule	197	0
Ozone	OZTimelineView	194	0
Flexo	FFEventLibraryModule	194	0
Flexo	FFTheaterModule	194	0
Helium	HGGPURenderer	193	0
Flexo	FFMDMusicModule	192	0
Ozone	OZViewerOSC	189	0
Ozone	OZSceneNode	186	0
ProChannel	OZCurve	184	0
Flexo	FFMediaRep	181	0
Ozone	OZFootage	180	0
Flexo	FFRoleEditorController	180	0
Flexo	FFVoiceOverController	179	0
Flexo	FFInspectorModuleCaptionEditor	176	0
Flexo	FFXMLExporter	172	0
Ozone	OZLibraryEntry	171	0
Flexo	FFPlayerScheduledData	171	0
Ozone	OZImageMask	166	0
Flexo	FFAudioUnitEffect	165	0
Flexo	FFAudioComponentSource	164	0
Ozone	OZOSCObjectDelegate	161	0
Flexo	FFModelDocument	158	0
Flexo	FFImage	156	0
Flexo	CALayer	155	0
ProChannel	OZChannelBase	154	0
ProCore	PCMotionBundle	154	0
Ozone	OZGroup	153	0
Ozone	OZRotoshape	153	0
Ozone	OZLibraryModuleBase	153	0
Flexo	FFOZNullCurve	150	0
Flexo	FFBaseSharePanel	150	0
